Date/Time,Electricity:Facility [J](Hourly),Electricity:Building [J](Hourly),Electricity:HVAC [J](Hourly),Electricity:Plant [J](Hourly),Cooling:Electricity [J](Hourly),Heating:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),NaturalGas:Facility [J](Hourly),NaturalGas:Plant [J](Hourly),TOTAL BUILDING INSIDE FACE SOLAR RADIATION HEAT GAIN ENERGY [J](Hourly),TOTAL BUILDING INSIDE FACE NET SURFACE THERMAL RADIATION HEAT GAIN ENERGY [J](Hourly) 
 01/01  01:00:00,2846544.5956399357,1710000.0,1136544.5956399357,0.0,0.0,0.0,1350000.0,0.0,0.0,0.0,-6.402842700481415e-10 
 01/01  02:00:00,2846544.5956399357,1710000.0,1136544.5956399357,0.0,0.0,0.0,1350000.0,0.0,0.0,0.0,-2.7939677238464355e-9 
 01/01  03:00:00,2846544.5956399357,1710000.0,1136544.5956399357,0.0,0.0,0.0,1350000.0,0.0,0.0,0.0,-6.402842700481415e-10 
 01/01  04:00:00,2846544.5956399357,1710000.0,1136544.5956399357,0.0,0.0,0.0,1350000.0,0.0,0.0,0.0,2.3283064365386963e-10 
 01/01  05:00:00,2846544.5956399357,1710000.0,1136544.5956399357,0.0,0.0,0.0,1350000.0,0.0,0.0,0.0,5.529727786779404e-9 
 01/01  06:00:00,2846544.5956399357,1710000.0,1136544.5956399357,0.0,0.0,0.0,1350000.0,0.0,0.0,0.0,-8.731149137020111e-11 
 01/01  07:00:00,13505778.024002302,1710000.0,1136544.5956399357,10659233.428362366,9464212.806572035,0.0,1350000.0,4985421.138058782,4985421.138058782,0.0,-9.89530235528946e-10 
 01/01  08:00:00,14075703.277284253,1710000.0,1136544.5956399357,11229158.681644319,9980049.161001572,0.0,1350000.0,4956271.512559706,4956271.512559706,1285900.8836988434,-4.3655745685100555e-10 
 01/01  09:00:00,42766623.820701845,29416680.0,1136544.5956399357,12213399.225061905,10846625.785756685,0.0,22216680.0,4821826.871926045,4821826.871926045,6940997.8258881755,-1.862645149230957e-9 
 01/01  10:00:00,49808131.855868265,35762400.0,1136544.5956399357,12909187.260228334,11509455.277768612,0.0,19562400.0,4470831.517111008,4470831.517111008,10712775.628159016,-3.6088749766349792e-9 
 01/01  11:00:00,44859461.84918432,30384000.0,1141708.8752863621,13333752.97389796,11925457.36804944,0.0,14184000.0,3941087.0600743475,3941087.0600743475,17521361.43223917,-3.4924596548080444e-9 
 01/01  12:00:00,41740122.99502567,27140580.0,1156791.020844812,13442751.974180862,12002996.669222265,0.0,10940580.0,2852675.80283961,2852675.80283961,19561041.61445111,-7.916241884231567e-9 
 01/01  13:00:00,39162551.146676205,24701760.0,1154865.0289936382,13305926.117682567,11834034.651564663,0.0,8501760.0,3175889.1472546635,3175889.1472546635,20194083.513535425,-3.4924596548080444e-9 
 01/01  14:00:00,39752740.182873614,25764480.0,1179219.0374575169,12809041.145416096,11351082.003851235,0.0,9564480.0,1324572.213119283,1324572.213119283,16595597.149741745,-3.259629011154175e-9 
 01/01  15:00:00,38757194.070900925,25027200.0,1213446.4659246919,12516547.604976237,11096555.095237106,0.0,10627200.0,0.0,0.0,17104578.473458078,-6.984919309616089e-9 
 01/01  16:00:00,38867775.17784383,25894800.0,1179699.1968231925,11793275.98102064,10387448.502069715,0.0,13294800.0,1181993.166229596,1181993.166229596,13498668.382655807,-5.3551048040390015e-9 
 01/01  17:00:00,39430619.16263599,26740800.0,1140311.5775500587,11549507.585085932,10125035.430338092,0.0,17740800.0,5249540.468059668,5249540.468059668,9253428.183130987,-6.05359673500061e-9 
 01/01  18:00:00,48308758.72658022,36000000.0,1143629.6111386046,11165129.115441611,9770294.225733388,0.0,27000000.0,4508480.701319461,4508480.701319461,917752.4543559623,-3.4924596548080444e-9 
 01/01  19:00:00,33705498.68032305,21600000.0,1136544.5956399357,10968954.084683117,9603562.760985332,0.0,16200000.0,5322943.141007005,5322943.141007005,0.0,-4.656612873077393e-10 
 01/01  20:00:00,22596100.016314715,10800000.0,1136544.5956399357,10659555.420674779,9395490.134913366,0.0,5400000.0,5182282.310349829,5182282.310349829,0.0,-1.5133991837501526e-9 
